ID,Reason_id,Reason,Text,Age,Gender,Education,Income,Physically_occupation,Political_affiliation,Support
0,0,Laziness,Laziness is a big problem. It's not a bad thing. But it's one of the things that we have to do,5,1,0,6,1,1,1
1,3,Job Dissatisfaction,"There are many reasons for people to retire early, but most of them are related to job satisfaction. In fact, it's",0,0,1,2,1,1,1
2,1,Health problems,"It's not as simple as that. When people die, they're not going to be able to afford health care. They'll be",6,0,0,2,0,2,1
3,2,Financial concerns,I think there's a lot of people who are retiring early. I don't think it's just the financial stuff. It's all,1,0,1,3,0,1,1
4,2,Financial concerns,The answer to that question is simple: you're not going to get the job you want. You're probably going out of your way,1,0,3,2,0,0,1
5,4,Family Responsibilities,"If you are married and have children, are you responsible for keeping your spouse's health and well-being in check? If so",4,1,3,6,0,2,0
6,0,Laziness,"There are a few reasons for that, but the biggest is that people tend to retire early, and that's where the blame for the",5,0,2,1,0,0,1
7,2,Financial concerns,A: What do I know about retirement? I've had retirement plans for a while now. I'm not sure if they're the,2,0,1,0,0,1,0
8,4,Family Responsibilities,"1. Don't overwork. This is one of the more common reasons why retirees are retiring. If you have kids, they",1,1,1,4,0,0,0
9,3,Job Dissatisfaction,I'm not sure. I think it's probably related to a lack of work experience. There's a lot of things that,3,1,1,1,0,1,1
10,4,Family Responsibilities,"If you're a retiree, how many of you are looking to be a part of a family? If so, what is",3,1,2,0,1,2,1
11,1,Health problems,I think the biggest reason is that people have more money to spend. I think it's because people don't have to move to a,2,1,2,5,0,0,1
12,4,Family Responsibilities,"What is your favorite part of retirement? Being able to work full-time, and to be a good parent? You know,",3,1,1,0,1,1,1
13,4,Family Responsibilities,Family responsibilities are a great way to meet your retirement goals. You can choose which responsibilities you'd like to have and how much.,1,0,2,3,0,2,0
14,1,Health problems,"The number of people who retire after 65 is still relatively small, although it is increasing. In 2015, more than 20,000 people",0,0,1,1,0,2,1
15,3,Job Dissatisfaction,People who are retiring before age 65 are likely to be more likely than others to work longer hours. This is due to their,6,0,2,0,0,0,0
16,2,Financial concerns,"A: I've heard a lot of people say, ""My retirement is not for me. I want to live longer, and I",2,1,1,1,0,1,1
17,1,Health problems,There are a number of reasons why you might retire early. One of these is that you may not have enough money to cover your medical,3,1,3,2,1,0,0
18,1,Health problems,"In fact, most people who retire after 65 have a health problem, such as diabetes, heart disease, or stroke. So you can",0,1,1,1,1,2,0
19,3,Job Dissatisfaction,"The answer is not so simple. For one thing, people who retire after age 65 tend to be more likely to spend more",4,0,2,2,1,1,1
20,0,Laziness,"This is an interesting question. It's not surprising that people tend to retire at age 65 before they reach their 60s, but we",6,0,1,3,0,2,0
21,0,Laziness,Laziness is one of those things that people who are lucky enough to have a good job and a decent job in their lives are,0,1,2,2,0,2,1
22,4,Family Responsibilities,There's a lot to be said for having a family. It's important to remember that a healthy family is one in which you,6,0,1,3,1,0,0
23,2,Financial concerns,"""I don't think there is a single reason,"" she said. ""I think it's a combination of all of these factors.""",6,1,3,0,1,1,1
24,1,Health problems,The following are some common reasons why a person is retiring before his or her 65th birthday:,4,0,1,1,0,2,0
25,1,Health problems,The National Health Service has estimated that the number of people who retire early will be higher than the national average for those aged 65 and over,2,0,1,5,1,0,1
26,0,Laziness,I don't know. I think it might be the one factor. Maybe that's because you're not sure how much money you have,4,0,2,2,0,0,1
27,0,Laziness,The answer is: laziness is bad for your health. It's not a problem that you should be worried about. If you're,4,1,3,1,0,0,1
28,2,Financial concerns,"Well, I think that's a really important one. It's not just a financial concern, it's also a personal concern. I",0,0,2,4,0,0,1
29,3,Job Dissatisfaction,"I'm sure you've heard of this one. It's a big one, but it's not the only reason. You",3,1,2,3,0,1,1
30,3,Job Dissatisfaction,"The best way to tell this is to look at the total number of years of work you've completed, and how much you",3,1,2,3,0,2,0
31,3,Job Dissatisfaction,"A: I think it's one of those things that's kind of hard to say, but I've heard it say that",0,0,3,1,0,0,0
32,4,Family Responsibilities,The best way to look at retirement is to determine how many people are retiring at the same time as their spouse or children. This,0,0,1,3,0,1,0
33,0,Laziness,There are a lot of reasons. One of them is that you're too young to be a father. You have no idea what you,3,0,3,1,0,2,1
34,4,Family Responsibilities,It's not uncommon for people to be working part-time jobs. But it is also common for them to work full time.,3,0,3,5,1,1,0
35,3,Job Dissatisfaction,The question is whether it's more common for people to retire early and to be better able to support themselves. The answer is,3,0,3,5,1,1,1
36,4,Family Responsibilities,What is one of the best ways to help a person retire early? A family plan. A plan that gives you the time to,2,0,3,5,1,2,0
37,4,Family Responsibilities,"The most commonly asked question is, ""Do you have a job at a company that is doing well?"" The answer is yes,",4,0,3,3,0,2,1
38,3,Job Dissatisfaction,"1. Job dissatisfaction is one of the reasons you retire. When people are dissatisfied with their work, they tend to retire sooner",4,1,3,0,1,2,1
39,0,Laziness,"I'm not sure. I don't think it's that simple. We're talking about retirement, and it seems to be something that",0,1,0,1,0,2,1
40,2,Financial concerns,"I think that's a pretty big issue, but I don't think there's any single reason. I think the best explanation is that",2,0,1,3,0,0,1
41,2,Financial concerns,"Well, I think that it's probably because we're starting to see a lot of people retiring early, and that's because there's",2,0,3,5,1,1,1
42,4,Family Responsibilities,How many children does it take to retire at 65 years of age? Number of children. Do you see the need for more work,4,0,3,1,0,2,0
43,4,Family Responsibilities,"It is common for people to retire early because there are a number of factors that affect their retirement plans. First, they may be",0,0,3,2,0,1,1
